product_name,product_id,listing_price,sale_price,discount,brand,description,rating,reviews,images
Nike Tiempo Legend 8 Academy MG,AT5292-606,0,6495,0,Nike,The Nike Tiempo Legend 8 Academy MG takes the legendary touch of calfskin leather and adds a versatile multi-ground plate for traction on natural- and artificial-grass surfaces.,2.0,1,"[""https://static.nike.com/a/images/t_PDP_1728_v1/742ea4e5-2a04-47d2-af23-2d425c30afaa/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/28a42af7-cd60-4a70-b50e-d724520b8fad/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/3d95a563-8f15-43e0-bf01-b5781f77aae5/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/170445a8-0f80-4e07-abd3-e01b0f31d257/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/357cc50a-30b0-4151-a7b7-e74c84e3a88e/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ff026eba-b1bf-4d57-97f6-76b923cbaace/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/60e5e35c-b560-4535-9af5-16b6d2883437/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/a773f355-943a-4492-a3d2-65142c1be9bd/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg""]"
Nike ACG MOC 3.0,CI9367-301,0,7995,0,Nike,"Trail-ready traction makes the Nike ACG Moc 3.0 a go-to for your next outdoor adventure. Designed and tested in Oregon, it features a sticky rubber heel and toe tip.",3.5,2,"[""https://static.nike.com/a/images/t_PDP_1728_v1/a05b14b2-e8c6-4389-bd92-1db2cf8f75e4/acg-moc-3-shoe-zd1tNv.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/7da4b453-884b-4a7b-9aa9-2ce84971f24e/acg-moc-3-shoe-zd1tNv.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/83482dcc-ad07-4a9f-ac83-da028ddabe42/acg-moc-3-shoe-zd1tNv.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/d1de3db5-3fab-4d1b-a772-0ce4eeea800c/acg-moc-3-shoe-zd1tNv.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/1d9f0d7c-6e41-4f27-a20e-9bada0a90f15/acg-moc-3-shoe-zd1tNv.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/38f8a437-4da7-4a5e-bf67-900114123c4f/acg-moc-3-shoe-zd1tNv.jpg""]"
Nike Air Max 720,CI3868-001,0,15995,0,Nike,"The Nike Air Max 720 goes bigger than ever before with Nike's tallest Air unit yet, which offers more air underfoot for unprecedented, all-day comfort. Has Air Max gone too far? We hope so.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/i1-571f219e-3efd-44a0-8d8a-6f0299d4f5b2/air-max-720-shoe-Mj6TKz.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-f1e4ea21-9490-42b6-9e02-a623ac95881e/air-max-720-shoe-Mj6TKz.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-14d28fe0-ff4a-4c38-b366-6cd6968830e6/air-max-720-shoe-Mj6TKz.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-fd959396-3a1d-44be-b75f-c85ab8075b44/air-max-720-shoe-Mj6TKz.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-a8902e36-d31e-4ff2-af6d-be75aa418d88/air-max-720-shoe-Mj6TKz.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-70710e00-6e2b-4fbd-9a87-f148a8e2b7be/air-max-720-shoe-Mj6TKz.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-f8af9df8-a5f5-439d-ab41-51104d1cfb47/air-max-720-shoe-Mj6TKz.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/i1-e20ba649-ca60-437e-a5b1-ac7a6284fcdc/air-max-720-shoe-Mj6TKz.jpg""]"
Nike AlphaDunk,BQ5401-001,15995,11197,0,Nike,"Join the hoops uprising in the AlphaDunk, one of Nike Basketball's bounciest game shoes to date. The revamped upper construction is light and supportive and a large cushioning unit spans nearly the entire forefoot, giving you all the responsiveness you can handle on the court.",2.9,12,"[""https://static.nike.com/a/images/t_PDP_1728_v1/uymy5ecxo9izfbvylyiy/alphadunk-basketball-shoe-qh0qTV.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/horlh9g2mlgpidmrsaaz/alphadunk-basketball-shoe-qh0qTV.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/qa74rxptbqbijyva0bhv/alphadunk-basketball-shoe-qh0qTV.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/trprwcxy96bcnkwy2eiu/alphadunk-basketball-shoe-qh0qTV.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/rbq3sbti6bffx7svvro9/alphadunk-basketball-shoe-qh0qTV.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/uh2x3zzlnzkqk9rk63ip/alphadunk-basketball-shoe-qh0qTV.jpg""]"
Nike Air Max 270 React,AO4971-700,12995,7797,0,Nike,"The bold silhouette of Nike Air lifts the Nike Air Max 270 React to new heights, while the Nike React foam midsole delivers exceptional cushioning. Imagine all-day comfort with unstoppable style.",3.9,33,"[""https://static.nike.com/a/images/t_PDP_1728_v1/zysrzf8tplx1rrikinuk/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/alokxgwbtdgnsln8tb9q/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ekm2v72j2ocgoyxrxmzj/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/lumkzfxsdfm4c7aiwc3s/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/whcpfiwpaehufl4im3un/air-max-270-react-shoe-8m45H9.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/bxsp4r7fjoezwrry4d3s/air-max-270-react-shoe-8m45H9.jpg""]"
Nike Air Max Dia LX,CI1214-004,9995,7997,0,Nike,"Designed specifically for a woman's foot, the Nike Air Max Dia LX delivers a lifted and airy aesthetic in a new, sleek shape. The minimal upper modernises your look, while the Max Air unit, surrounded by clear plastic, elevates your style.",1.0,1,"[""https://static.nike.com/a/images/t_PDP_1728_v1/xjj7nh6buf08zqpkxil2/air-max-dia-lx-shoe-ktwftT.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/xdewk7gzxm4gxwluelt4/air-max-dia-lx-shoe-ktwftT.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/refdwhfq7dlp1agdfip5/air-max-dia-lx-shoe-ktwftT.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/kwum0jgxxulnjkzzsu5u/air-max-dia-lx-shoe-ktwftT.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/q1k0q3mmo5fzfeppt8ky/air-max-dia-lx-shoe-ktwftT.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/fsjdr7fu5qaaen8z73t5/air-max-dia-lx-shoe-ktwftT.jpg""]"
Air Jordan 5 Retro,CD2722-001,0,15995,0,Nike,"The Air Jordan 5 Retro for women gives a colourful makeover to one of MJ's most memorable game shoes. Featuring iconic fighter plane-inspired midsole sculpting and moulded lace toggle, this version flashes an all-over reflective rainbow print for some bold colour and energy.",3.3,3,"[""https://static.nike.com/a/images/t_PDP_1728_v1/da5d2aa0-3033-400a-8024-93ba9dafc42c/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/3f25c027-1c2f-4a32-81f9-d1ecde112a29/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/fdff5027-ce6c-45c6-a824-8e66911af3da/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/8263d3dc-cd3a-45ae-98e8-619ffd6e0332/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cd7bed02-f6ab-4952-90b2-2d381d4bc603/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/9f1647b5-54cc-4a1f-a9e7-e6527e00560b/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/68544cbf-fce2-4406-94cc-fb222f0a0471/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/5a0e0d6a-95cd-43ae-87be-8f7e44028e54/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/59ba7449-4a5c-48db-b450-869b0c54c617/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/9c577f6f-84b9-413a-84e5-8f7a1ced0ee2/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/09e817f0-0f69-458e-9763-70cc66f94223/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/e0263e6b-c7a5-4ef6-bcef-3bfd506ccaac/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/beb3b640-f49a-4561-b9a5-255a9742db25/air-jordan-5-retro-shoe-cm8PdW.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/29907a74-26e7-4ffe-88c0-e8ab96ff962c/air-jordan-5-retro-shoe-cm8PdW.jpg""]"
LeBron Soldier 13 SFG,AR4225-003,11995,9597,0,Nike,"LeBron works hard in the offseason, getting stronger and fine-tuning his already devastating skills. Inspired by his dedication and commitment to inclusivity, the Soldier 13 SFG combines LeBron-tested cushioning, containment and support with a wide, flexible collar and lace-free closure that lets all players get in and out of the shoe with ease.",4.2,6,"[""https://static.nike.com/a/images/t_PDP_1728_v1/bm1w5fwwi6vejhupqhoa/lebron-soldier-13-sfg-basketball-shoe-6bjdsK.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/t0dxnl4s6o7beqkc4cpq/lebron-soldier-13-sfg-basketball-shoe-6bjdsK.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pwhxmf5o2ed7rfjjzpxu/lebron-soldier-13-sfg-basketball-shoe-6bjdsK.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/crnhcmr3h4wslribovrc/lebron-soldier-13-sfg-basketball-shoe-6bjdsK.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/hvsknhgnmb7ejsv0baat/lebron-soldier-13-sfg-basketball-shoe-6bjdsK.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pgjrr0pz7o5uygylxk41/lebron-soldier-13-sfg-basketball-shoe-6bjdsK.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/o3bsmg32zazc0um1xn4e/lebron-soldier-13-sfg-basketball-shoe-6bjdsK.jpg""]"
Nike x MMW Joyride CC3 Setter,CU7623-002,0,16995,0,Nike,"Alyx founder and creative director Matthew M. Williams is known for his ability to push fashion into new spaces. His angle is simple: Combine the influence of his life in New York and California with the latest innovations. The Nike x MMW Joyride CC3 Setter runs with that idea, bringing you to a world of cushioning and comfort.",3.5,2,"[""https://static.nike.com/a/images/t_PDP_1728_v1/2c5fb46e-2deb-4672-bd76-91bcb31d682e/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/6060206f-6570-4bc5-8428-4e682a75bd0b/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/deadc4f4-dcb9-4594-a662-4d48386c6953/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/b414b37a-47da-4fb2-8940-94e18ee78511/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/e07b96b6-3fd1-46b6-a090-0c9528cfc6c3/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/968705ba-760e-4b68-9e12-14c11618d6ae/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ce475e2b-c919-4491-a9b7-7731769f7be6/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/75f5e49a-9bbc-4d35-8e48-22eb69946a00/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/2d30e6e4-ba86-48cc-ad44-f26e12b80625/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ba8a4eeb-e0a9-43a4-835b-7c97a5bed194/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/96099d33-9de1-4e4c-91b1-0cb9b6a287c5/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/e3f343cc-835b-45c4-bf97-62942f7a2820/mmw-joyride-cc3-setter-shoe-JtXqVN.jpg""]"
Kyrie 6 EP 'Chinese New Year',CD5029-001,0,10995,0,Nike,"According to the four-year cycle of the Chinese zodiac, the year of the mouse represents growth. Through the folk-art tradition of Jianzhi (paper cutting), the Kyrie 6 'Chinese New Year' honours major breakthroughs in Nike innovation with a graphic on the tongue. A watercolour-themed print completes the art-inspired CNY theme.",5.0,1,"[""https://static.nike.com/a/images/t_PDP_1728_v1/f8bf3e52-3481-4d68-92a9-99c57bcdec98/kyrie-6-ep-chinese-new-year-basketball-shoe-Cf9Fsg.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/42ea98cc-6235-4470-96eb-86a2643df661/kyrie-6-ep-chinese-new-year-basketball-shoe-Cf9Fsg.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/fd064e02-9ce8-43a6-9ff8-cb24751e0c43/kyrie-6-ep-chinese-new-year-basketball-shoe-Cf9Fsg.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/5a15b216-4d7c-413e-b11a-3624e39cab22/kyrie-6-ep-chinese-new-year-basketball-shoe-Cf9Fsg.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/6db4c35a-f025-4382-9d93-b59387739f44/kyrie-6-ep-chinese-new-year-basketball-shoe-Cf9Fsg.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/67c73be8-c62e-405b-99c1-fe153abf0e4a/kyrie-6-ep-chinese-new-year-basketball-shoe-Cf9Fsg.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/fdb443e7-29c9-4e61-945c-6467eddc8716/kyrie-6-ep-chinese-new-year-basketball-shoe-Cf9Fsg.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/a4454081-cea4-4c75-94dd-425964176e07/kyrie-6-ep-chinese-new-year-basketball-shoe-Cf9Fsg.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/0c12e6d9-c973-4de8-a5bb-c3a7073d7515/kyrie-6-ep-chinese-new-year-basketball-shoe-Cf9Fsg.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/939fb743-a4f7-4680-b8be-fc005ca4f5d1/kyrie-6-ep-chinese-new-year-basketball-shoe-Cf9Fsg.jpg""]"
