"experiment","method","dataset","oquare_results"
"base-llm","llama-3-70b","BigBasketProducts","Y"
"base-llm","llama-3-70b","BrazilianE-commerce","Y"
"base-llm","llama-3-70b","eCommerce","Y"
"base-llm","llama-3-8b","AmazonRating","N"
"base-llm","llama-3-8b","BrazilianE-commerce","N"
"base-llm","llama-3-8b","CustomerComplaint","N"
"base-llm","llama-3-8b","eCommerce","N"
"base-llm","mistral-7b","AirlinesCustomerSatisfaction","N"
"base-llm","mixtral","BigBasketProducts","N"
"base-llm","mixtral","BrazilianE-commerce","N"
"base-llm","mixtral","CustomerComplaint","Y"
"FT","GPT-4o","AirlinesCustomerSatisfaction","Y"
"FT","GPT-4o","AmazonRating","Y"
"FT","GPT-4o","BigBasketProducts","Y"
"FT","GPT-4o","BrazilianE-commerce","Y"
"FT","GPT-4o","CustomerComplaint","Y"
"FT","GPT-4o","eCommerce","Y"
"FT","llama-2-13b","AirlinesCustomerSatisfaction","Y"
"FT","llama-2-13b","AmazonRating","Y"
"FT","llama-2-13b","BigBasketProducts","Y"
"FT","llama-2-13b","BrazilianE-commerce","Y"
"FT","llama-2-13b","CustomerComplaint","Y"
"FT","llama-2-13b","eCommerce","Y"
"FT","llama-3-8b-4bits","AirlinesCustomerSatisfaction","Y"
"FT","llama-3-8b-4bits","AmazonRating","Y"
"FT","llama-3-8b-4bits","BigBasketProducts","Y"
"FT","llama-3-8b-4bits","BrazilianE-commerce","Y"
"FT","llama-3-8b-4bits","CustomerComplaint","Y"
"FT","llama-3-8b-4bits","eCommerce","Y"
"FT","llama-3-8b-8bits","AirlinesCustomerSatisfaction","Y"
"FT","llama-3-8b-8bits","AmazonRating","Y"
"FT","llama-3-8b-8bits","BigBasketProducts","Y"
"FT","llama-3-8b-8bits","BrazilianE-commerce","Y"
"FT","llama-3-8b-8bits","CustomerComplaint","Y"
"FT","llama-3-8b-8bits","eCommerce","Y"
"FT","llama-3-8b-wo","CustomerComplaint","Y"
"RAG","GPT-4","AirlinesCustomerSatisfaction","Y"
"RAG","GPT-4","AmazonRating","Y"
"RAG","GPT-4","BigBasketProducts","Y"
"RAG","GPT-4","BrazilianE-commerce","Y"
"RAG","GPT-4","CustomerComplaint","Y"
"RAG","GPT-4","eCommerce","Y"
"RAG","GPT-4o","AirlinesCustomerSatisfaction","Y"
"RAG","GPT-4o","AmazonRating","Y"
"RAG","GPT-4o","BigBasketProducts","Y"
"RAG","GPT-4o","BrazilianE-commerce","Y"
"RAG","GPT-4o","CustomerComplaint","Y"
"RAG","GPT-4o","eCommerce","Y"
