method,dataset,feature,value,prefix,id,correct
GPT-3.5,AirlinesCustomerSatisfaction,total,7,NA,NA,NA
GPT-3.5,AirlinesCustomerSatisfaction,validity,7,NA,NA,NA
GPT-3.5,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
GPT-3.5,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,rdfs:label,rdfs,label,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,xsd:float,xsd,float,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,xsd:string,xsd,string,TRUE
GPT-4,AirlinesCustomerSatisfaction,total,23,NA,NA,NA
GPT-4,AirlinesCustomerSatisfaction,validity,17,NA,NA,NA
GPT-4,AirlinesCustomerSatisfaction,corrected,6,NA,NA,NA
GPT-4,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,owl:unionOf,owl,unionOf,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,xsd:float,xsd,float,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,xsd:int,xsd,int,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,schema:Person,schema,Person,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,schema:Flight,schema,Flight,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,schema:Service,schema,Service,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,schema:ProductModel,schema,ProductModel,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,schema:ProgramMembership,schema,ProgramMembership,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,schema:LeisureTimeActivity,schema,LeisureTimeActivity,FALSE
GPT-4,AirlinesCustomerSatisfaction,URIs,schema:BusinessEvent,schema,BusinessEvent,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,schema:ReviewAction,schema,ReviewAction,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,dbo:Reservation,dbo,Reservation,FALSE
GPT-4,AirlinesCustomerSatisfaction,URIs,dbo:BusinessClass,dbo,BusinessClass,FALSE
GPT-4,AirlinesCustomerSatisfaction,URIs,dbo:EconomyClass,dbo,EconomyClass,FALSE
GPT-4,AirlinesCustomerSatisfaction,URIs,sosa:Results,sosa,Results,TRUE
GPT-4,AirlinesCustomerSatisfaction,URIs,foaf:Male,foaf,Male,FALSE
GPT-4,AirlinesCustomerSatisfaction,URIs,foaf:Female,foaf,Female,FALSE
GPT-4o,AirlinesCustomerSatisfaction,total,14,NA,NA,NA
GPT-4o,AirlinesCustomerSatisfaction,validity,12,NA,NA,NA
GPT-4o,AirlinesCustomerSatisfaction,corrected,2,NA,NA,NA
GPT-4o,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,schema:age,schema,age,FALSE
GPT-4o,AirlinesCustomerSatisfaction,URIs,schema:arrivalTime,schema,arrivalTime,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,schema:Rating,schema,Rating,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,schema:departureTime,schema,departureTime,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,schema:distance,schema,distance,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,schema:class,schema,class,FALSE
GPT-4o,AirlinesCustomerSatisfaction,URIs,schema:customer,schema,customer,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,schema:gender,schema,gender,TRUE
GPT-4o,AirlinesCustomerSatisfaction,URIs,schema:Trip,schema,Trip,TRUE
GPT-3.5,AmazonRating,total,12,NA,NA,NA
GPT-3.5,AmazonRating,validity,12,NA,NA,NA
GPT-3.5,AmazonRating,corrected,0,NA,NA,NA
GPT-3.5,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,AmazonRating,URIs,owl:Class,owl,Class,TRUE
GPT-3.5,AmazonRating,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
GPT-3.5,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-3.5,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
GPT-3.5,AmazonRating,URIs,owl:Restriction,owl,Restriction,TRUE
GPT-3.5,AmazonRating,URIs,owl:onProperty,owl,onProperty,TRUE
GPT-3.5,AmazonRating,URIs,owl:someValuesFrom,owl,someValuesFrom,TRUE
GPT-3.5,AmazonRating,URIs,xsd:integer,xsd,integer,TRUE
GPT-3.5,AmazonRating,URIs,xsd:string,xsd,string,TRUE
GPT-3.5,AmazonRating,URIs,xsd:dateTime,xsd,dateTime,TRUE
GPT-4,AmazonRating,total,14,NA,NA,NA
GPT-4,AmazonRating,validity,14,NA,NA,NA
GPT-4,AmazonRating,corrected,0,NA,NA,NA
GPT-4,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4,AmazonRating,URIs,owl:Class,owl,Class,TRUE
GPT-4,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
GPT-4,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4,AmazonRating,URIs,xsd:integer,xsd,integer,TRUE
GPT-4,AmazonRating,URIs,xsd:string,xsd,string,TRUE
GPT-4,AmazonRating,URIs,xsd:dateTime,xsd,dateTime,TRUE
GPT-4,AmazonRating,URIs,gr:ProductOrService,gr,ProductOrService,TRUE
GPT-4,AmazonRating,URIs,foaf:Person,foaf,Person,TRUE
GPT-4,AmazonRating,URIs,rev:Review,rev,Review,TRUE
GPT-4,AmazonRating,URIs,schema:Review,schema,Review,TRUE
GPT-4,AmazonRating,URIs,schema:Product,schema,Product,TRUE
GPT-4o,AmazonRating,total,16,NA,NA,NA
GPT-4o,AmazonRating,validity,16,NA,NA,NA
GPT-4o,AmazonRating,corrected,0,NA,NA,NA
GPT-4o,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-4o,AmazonRating,URIs,owl:Class,owl,Class,TRUE
GPT-4o,AmazonRating,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
GPT-4o,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-4o,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-4o,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
GPT-4o,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-4o,AmazonRating,URIs,xsd:decimal,xsd,decimal,TRUE
GPT-4o,AmazonRating,URIs,xsd:string,xsd,string,TRUE
GPT-4o,AmazonRating,URIs,rdfs:subPropertyOf,rdfs,subPropertyOf,TRUE
GPT-4o,AmazonRating,URIs,schema:Product,schema,Product,TRUE
GPT-4o,AmazonRating,URIs,schema:Person,schema,Person,TRUE
GPT-4o,AmazonRating,URIs,schema:Review,schema,Review,TRUE
GPT-4o,AmazonRating,URIs,schema:ratingValue,schema,ratingValue,TRUE
GPT-4o,AmazonRating,URIs,dcterms:identifier,dcterms,identifier,TRUE
GPT-4o,AmazonRating,URIs,dcterms:created,dcterms,created,TRUE
GPT-3.5,BigBasketProducts,total,9,NA,NA,NA
GPT-3.5,BigBasketProducts,validity,9,NA,NA,NA
GPT-3.5,BigBasketProducts,corrected,0,NA,NA,NA
GPT-3.5,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
GPT-3.5,BigBasketProducts,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
GPT-3.5,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-3.5,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
