method,dataset,feature,value,correct
GPT-3.5,AirlinesCustomerSatisfaction,total,4,NA
GPT-3.5,AirlinesCustomerSatisfaction,validity,4,NA
GPT-3.5,AirlinesCustomerSatisfaction,corrected,0,NA
GPT-3.5,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
GPT-3.5,AmazonRating,total,4,NA
GPT-3.5,AmazonRating,validity,4,NA
GPT-3.5,AmazonRating,corrected,0,NA
GPT-3.5,AmazonRating,prefixes,rdf,TRUE
GPT-3.5,AmazonRating,prefixes,rdfs,TRUE
GPT-3.5,AmazonRating,prefixes,owl,TRUE
GPT-3.5,AmazonRating,prefixes,xsd,TRUE
GPT-3.5,BigBasketProducts,total,3,NA
GPT-3.5,BigBasketProducts,validity,3,NA
GPT-3.5,BigBasketProducts,corrected,0,NA
GPT-3.5,BigBasketProducts,prefixes,rdf,TRUE
GPT-3.5,BigBasketProducts,prefixes,rdfs,TRUE
GPT-3.5,BigBasketProducts,prefixes,xsd,TRUE
GPT-3.5,BrazilianE-commerce,total,4,NA
GPT-3.5,BrazilianE-commerce,validity,4,NA
GPT-3.5,BrazilianE-commerce,corrected,0,NA
GPT-3.5,BrazilianE-commerce,prefixes,rdf,TRUE
GPT-3.5,BrazilianE-commerce,prefixes,rdfs,TRUE
GPT-3.5,BrazilianE-commerce,prefixes,xsd,TRUE
GPT-3.5,BrazilianE-commerce,prefixes,owl,TRUE
GPT-3.5,CustomerComplaint,total,4,NA
GPT-3.5,CustomerComplaint,validity,4,NA
GPT-3.5,CustomerComplaint,corrected,0,NA
GPT-3.5,CustomerComplaint,prefixes,rdf,TRUE
GPT-3.5,CustomerComplaint,prefixes,rdfs,TRUE
GPT-3.5,CustomerComplaint,prefixes,xsd,TRUE
GPT-3.5,CustomerComplaint,prefixes,owl,TRUE
GPT-3.5,eCommerce,total,4,NA
